UNIT,CHIPLET,RELEASED_WA_PATH,RTL_TAG,RELEASE_TYPES,RELEASE_USER,RELEASE_TIMESTAMP
riba,NDQ,/home/scratch.rmenasheof_vlsi/agur/riba/riba_10_9_1nl_new_flow_golden,"riba_rbv_2025_09_08_agur_condb_int3_2025_08_27_0_1NL_snap","STA",rmenasheof,2025/11/16 13:56:14,/home/agur_backend_blockRelease/block/riba/riba_10_9_1nl_new_flow_golden__2025_11_16_13_56_14
ribs,NDQ,/home/scratch.ynaim_vlsi_1/agur/1NL/ribs/ribs.ribs_rbv_2025_10_20_agur_condb_int3_2025_08_31_0_no_split_fifo_with_bypass_0_inff_1_vivid,"ribs_rbv_2025_10_20_agur_condb_int3_2025_08_31_0_no_split_fifo_with_bypass_0_inff_1","STA",ynaim,2025/11/16 11:23:52,/home/agur_backend_blockRelease/block/ribs/ribs.ribs_rbv_2025_10_20_agur_condb_int3_2025_08_31_0_no_split_fifo_with_bypass_0_inff_1_vivid__2025_11_16_11_23_52
sma,NDQ,/home/scratch.shlomoc_vlsi/agur/sma/run_07_09_2025_sma_rbv_2025_09_04_new_flow_dsr_fix_interface_fix,"sma_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL",shlomoc,2025/11/16 16:08:48,/home/agur_backend_blockRelease/block/sma/run_07_09_2025_sma_rbv_2025_09_04_new_flow_dsr_fix_interface_fix__2025_11_16_16_8_48
yu,NDQ,/home/scratch.ashahock_vlsi/agur/yu/yu_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap_ver5_lib_fix,"yu_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap","STA,PNR",ashahock,2025/11/16 19:51:31,/home/agur_backend_blockRelease/block/yu/yu_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap_ver5_lib_fix__2025_11_16_19_51_31
dqaa,QNS,/home/scratch.siddharthasa_vlsi/agur/1NL/dqaa/dqaa_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_final,"dqaa_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap","STA,PNR",siddharthasa,2025/11/13 16:05:53,/home/agur_backend_blockRelease/block/dqaa/dqaa_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_final__2025_11_13_16_5_53
dqaci,QNS,/home/scratch.siddharthasa_vlsi/agur/1NL/dqaci/dqaci_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_pv_rel/signoff_flow/nv_gate_eco/dqaci/ipo1000/nbu_signoff,"dqaci_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap","STA,PNR",siddharthasa,2025/11/13 14:35:02,/home/agur_backend_blockRelease/block/dqaci/nbu_signoff_dqaci_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_pv_rel_ipo1000_2025_11_13_14_35_2
dqaco,QNS,/home/scratch.gnarla_vlsi_1/agur/1NL/dqaco/dqaco_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_lat_pin_def,"dqaco_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap","STA,PNR",gnarla,2025/11/13 07:44:09,/home/agur_backend_blockRelease/block/dqaco/dqaco_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_lat_pin_def__2025_11_13_7_44_9
dqai,QNS,/home/scratch.mlanzerer_vlsi/dqai_dir/fix_tag_1nl,"dqai_rbv_2025_10_08_agur_condb_int3_2025_08_27_0_1NL_snap","STA",mlanzerer,2025/11/16 11:55:13,/home/agur_backend_blockRelease/block/dqai/fix_tag_1nl__2025_11_16_11_55_13
dqamci,QNS,/home/scratch.mlanzerer_vlsi/dqamci_dir/dqamci_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap,"dqamci_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap","STA",mlanzerer,2025/11/13 08:52:52,/home/agur_backend_blockRelease/block/dqamci/dqamci_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap__2025_11_13_8_52_52
dqamco,QNS,/home/scratch.siddharthasa_vlsi/agur/1NL/dqamco/dqamco_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_pv_rel/signoff_flow/nv_gate_eco/dqamco/ipo1000/nbu_signoff,"dqaci_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap","STA,PNR",siddharthasa,2025/11/13 14:27:43,/home/agur_backend_blockRelease/block/dqamco/nbu_signoff_dqamco_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap_pv_rel_ipo1001_2025_11_13_14_27_43
